alpha,chi2
8.000000e-01,1.116568e+02
8.004004e-01,1.116101e+02
8.008008e-01,1.115630e+02
8.012012e-01,1.115156e+02
8.016016e-01,1.114679e+02
8.020020e-01,1.114199e+02
8.024024e-01,1.113716e+02
8.028028e-01,1.113230e+02
8.032032e-01,1.112741e+02
8.036036e-01,1.112248e+02
8.040040e-01,1.111753e+02
8.044044e-01,1.111254e+02
8.048048e-01,1.110752e+02
8.052052e-01,1.110248e+02
8.056056e-01,1.109740e+02
8.060060e-01,1.109229e+02
8.064064e-01,1.108715e+02
8.068068e-01,1.108198e+02
8.072072e-01,1.107678e+02
8.076076e-01,1.107155e+02
8.080080e-01,1.106629e+02
8.084084e-01,1.106100e+02
8.088088e-01,1.105568e+02
8.092092e-01,1.105033e+02
8.096096e-01,1.104495e+02
8.100100e-01,1.103954e+02
8.104104e-01,1.103410e+02
8.108108e-01,1.102864e+02
8.112112e-01,1.102314e+02
8.116116e-01,1.101761e+02
8.120120e-01,1.101205e+02
8.124124e-01,1.100647e+02
8.128128e-01,1.100085e+02
8.132132e-01,1.099521e+02
8.136136e-01,1.098954e+02
8.140140e-01,1.098384e+02
8.144144e-01,1.097810e+02
8.148148e-01,1.097235e+02
8.152152e-01,1.096656e+02
8.156156e-01,1.096074e+02
8.160160e-01,1.095490e+02
8.164164e-01,1.094902e+02
8.168168e-01,1.094312e+02
8.172172e-01,1.093719e+02
8.176176e-01,1.093123e+02
8.180180e-01,1.092524e+02
8.184184e-01,1.091922e+02
8.188188e-01,1.091318e+02
8.192192e-01,1.090711e+02
8.196196e-01,1.090101e+02
8.200200e-01,1.089488e+02
8.204204e-01,1.088872e+02
8.208208e-01,1.088254e+02
8.212212e-01,1.087633e+02
8.216216e-01,1.087009e+02
8.220220e-01,1.086382e+02
8.224224e-01,1.085753e+02
8.228228e-01,1.085121e+02
8.232232e-01,1.084486e+02
8.236236e-01,1.083848e+02
8.240240e-01,1.083208e+02
8.244244e-01,1.082565e+02
8.248248e-01,1.081919e+02
8.252252e-01,1.081271e+02
8.256256e-01,1.080620e+02
8.260260e-01,1.079966e+02
8.264264e-01,1.079310e+02
8.268268e-01,1.078651e+02
8.272272e-01,1.077990e+02
8.276276e-01,1.077326e+02
8.280280e-01,1.076660e+02
8.284284e-01,1.075991e+02
8.288288e-01,1.075319e+02
8.292292e-01,1.074645e+02
8.296296e-01,1.073969e+02
8.300300e-01,1.073290e+02
8.304304e-01,1.072608e+02
8.308308e-01,1.071925e+02
8.312312e-01,1.071239e+02
8.316316e-01,1.070550e+02
8.320320e-01,1.069859e+02
8.324324e-01,1.069166e+02
8.328328e-01,1.068470e+02
8.332332e-01,1.067772e+02
8.336336e-01,1.067072e+02
8.340340e-01,1.066369e+02
8.344344e-01,1.065664e+02
8.348348e-01,1.064957e+02
8.352352e-01,1.064248e+02
8.356356e-01,1.063536e+02
8.360360e-01,1.062822e+02
8.364364e-01,1.062106e+02
8.368368e-01,1.061388e+02
8.372372e-01,1.060668e+02
8.376376e-01,1.059945e+02
8.380380e-01,1.059221e+02
8.384384e-01,1.058494e+02
8.388388e-01,1.057765e+02
8.392392e-01,1.057035e+02
8.396396e-01,1.056302e+02
8.400400e-01,1.055567e+02
8.404404e-01,1.054831e+02
8.408408e-01,1.054092e+02
8.412412e-01,1.053351e+02
8.416416e-01,1.052609e+02
8.420420e-01,1.051865e+02
8.424424e-01,1.051118e+02
8.428428e-01,1.050370e+02
8.432432e-01,1.049621e+02
8.436436e-01,1.048869e+02
8.440440e-01,1.048116e+02
8.444444e-01,1.047360e+02
8.448448e-01,1.046604e+02
8.452452e-01,1.045845e+02
8.456456e-01,1.045085e+02
8.460460e-01,1.044323e+02
8.464464e-01,1.043559e+02
8.468468e-01,1.042794e+02
8.472472e-01,1.042027e+02
8.476476e-01,1.041259e+02
8.480480e-01,1.040489e+02
8.484484e-01,1.039718e+02
8.488488e-01,1.038945e+02
8.492492e-01,1.038170e+02
8.496496e-01,1.037394e+02
8.500501e-01,1.036617e+02
8.504505e-01,1.035838e+02
8.508509e-01,1.035057e+02
8.512513e-01,1.034276e+02
8.516517e-01,1.033493e+02
8.520521e-01,1.032708e+02
8.524525e-01,1.031922e+02
8.528529e-01,1.031135e+02
8.532533e-01,1.030347e+02
8.536537e-01,1.029558e+02
8.540541e-01,1.028767e+02
8.544545e-01,1.027975e+02
8.548549e-01,1.027182e+02
8.552553e-01,1.026387e+02
8.556557e-01,1.025592e+02
8.560561e-01,1.024795e+02
8.564565e-01,1.023998e+02
8.568569e-01,1.023199e+02
8.572573e-01,1.022399e+02
8.576577e-01,1.021599e+02
8.580581e-01,1.020797e+02
8.584585e-01,1.019994e+02
8.588589e-01,1.019191e+02
8.592593e-01,1.018386e+02
8.596597e-01,1.017581e+02
8.600601e-01,1.016775e+02
8.604605e-01,1.015968e+02
8.608609e-01,1.015160e+02
8.612613e-01,1.014352e+02
8.616617e-01,1.013543e+02
8.620621e-01,1.012733e+02
8.624625e-01,1.011922e+02
8.628629e-01,1.011111e+02
8.632633e-01,1.010300e+02
8.636637e-01,1.009487e+02
8.640641e-01,1.008675e+02
8.644645e-01,1.007862e+02
8.648649e-01,1.007048e+02
8.652653e-01,1.006234e+02
8.656657e-01,1.005419e+02
8.660661e-01,1.004604e+02
8.664665e-01,1.003789e+02
8.668669e-01,1.002973e+02
8.672673e-01,1.002157e+02
8.676677e-01,1.001341e+02
8.680681e-01,1.000525e+02
8.684685e-01,9.997081e+01
